case_name,aircon,ventilation,exhaust,1_x,1_y,1_z,1_angle,2_x,2_y,2_z,2_angle,3_x,3_y,3_z,3_angle,4_x,4_y,4_z,4_angle,5_x,5_y,5_z,5_angle,office_size_x,office_size_y,RoI,predict values,residuals,legend
office2_660_82_aout,660,82,1,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,212.3939393939394,211.96681117515797,-0.4271282187814336,Training:office2
office2_0_164_aout,0,164,1,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,238.3454545454545,241.06564065687996,2.720186111425477,Training:office2
office2_360_246_bout,360,246,2,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,230.8787878787879,228.33918367343188,-2.539604205356028,Training:office2
office2_960_246_aout,960,246,1,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,216.87878787878785,216.41106086295903,-0.4677270158288138,Training:office2
office2_960_164_bout,960,164,2,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,188.86060606060605,184.30454483475782,-4.556061225848225,Training:office2
office2_360_246_aout,360,246,1,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,200.72727272727275,205.129150716691,4.401877989418239,Training:office2
office2_360_164_bout,360,164,2,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,182.45454545454547,182.36426263055495,-0.09028282399052046,Training:office2
office2_660_0,660,0,3,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,210.7333333333333,209.04450940678876,-1.6888239265445293,Training:office2
office2_360_82_bout,360,82,2,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,222.9272727272727,219.5081724878116,-3.419100239461102,Training:office2
office8_360_164_bout,360,164,2,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,139.15555555555557,141.35974013111155,2.204184575555985,Training:office8
office8_660_246_aout,660,246,1,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,174.6277777777778,177.4502947880842,2.822517010306399,Training:office8
office8_660_82_bout,660,82,2,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,169.18333333333334,168.67235967782278,-0.5109736555105542,Training:office8
office8_660_82_aout,660,82,1,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,169.78888888888886,171.98166333572325,2.1927744468343917,Training:office8
office8_660_164_bout,660,164,2,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,168.5888888888889,171.87311326170888,3.2842243728199776,Training:office8
office8_0_164_aout,0,164,1,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,166.4611111111111,168.18272783430214,1.7216167231910333,Training:office8
