case_name,aircon,ventilation,exhaust,1_x,1_y,1_z,1_angle,2_x,2_y,2_z,2_angle,3_x,3_y,3_z,3_angle,4_x,4_y,4_z,4_angle,5_x,5_y,5_z,5_angle,office_size_x,office_size_y,RoI,predict values,residuals,legend
office2_660_82_aout,660,82,1,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,212.3939393939394,205.67822166668842,-6.71571772725099,Training:office2
office2_0_164_aout,0,164,1,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,238.3454545454545,204.2417817752103,-34.103672770244174,Training:office2
office2_360_246_bout,360,246,2,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,230.8787878787879,204.99656810467417,-25.882219774113736,Training:office2
office2_960_246_aout,960,246,1,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,216.87878787878785,207.13092199604557,-9.747865882742275,Training:office2
office2_960_164_bout,960,164,2,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,188.86060606060605,207.54353335604947,18.68292729544342,Training:office2
office2_360_246_aout,360,246,1,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,200.72727272727275,204.7005240041376,3.9732512768648576,Training:office2
office2_360_164_bout,360,164,2,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,182.45454545454547,205.00147108994764,22.546925635402175,Training:office2
office2_660_0,660,0,3,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,210.7333333333333,211.71240516944937,0.9790718361160771,Training:office2
office2_360_82_bout,360,82,2,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,222.9272727272727,205.00637407522112,-17.92089865205159,Training:office2
office8_360_164_bout,360,164,2,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,139.15555555555557,165.21707749815414,26.061521942598574,Training:office8
office8_660_246_aout,660,246,1,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,174.6277777777778,168.24862423618728,-6.379153541590512,Training:office8
office8_660_82_bout,660,82,2,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,169.18333333333334,168.23408527467177,-0.949248058661567,Training:office8
office8_660_82_aout,660,82,1,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,169.78888888888886,168.2485849068931,-1.540303981995777,Training:office8
office8_660_164_bout,660,164,2,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,168.5888888888889,168.23408859384884,-0.3548002950400644,Training:office8
office8_0_164_aout,0,164,1,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,166.4611111111111,161.63787340948713,-4.823237701623981,Training:office8
office8_0_82_aout,0,82,1,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,151.0888888888889,161.63785374484004,10.54896485595114,Training:office8
office8_660_164_aout,660,164,1,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,167.36666666666665,168.24860457154017,0.8819379048735243,Training:office8
office8_660_246_bout,660,246,2,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,177.9388888888889,168.23409191302588,-9.704796975863019,Training:office8
office8_360_246_bout,360,246,2,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,153.32222222222222,165.2170808173312,11.894858595108985,Training:office8
office8_960_82_aout,960,82,1,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,177.69444444444443,171.1416460840678,-6.5527983603766415,Training:office8
office8_360_82_bout,360,82,2,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,157.21666666666667,165.2170741789771,8.000407512310431,Training:office8
office8_360_82_aout,360,82,1,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,149.2388888888889,165.28740594829534,16.048517059406436,Training:office8
office8_0_0,0,0,3,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,153.75555555555553,158.66995862462267,4.914403069067134,Training:office8
office8_960_164_bout,960,164,2,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,171.5,171.18298190812044,-0.31701809187956087,Training:office8
office8_0_246_aout,0,246,1,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,163.66666666666669,161.6378930741342,-2.028773592532474,Training:office8
office8_360_164_aout,360,164,1,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,147.03333333333336,165.28742561294246,18.254092279609097,Training:office8
office8_360_0,360,0,3,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0,157.33888888888887,163.77321797534702,6.434329086458149,Training:office8
